name,address,borough,zip
*commodities/all Nat Co-d,165 1st Ave,New York,10003
1201 Deli And Grill,1201 Avenue U,Brooklyn,11229
1252 Deli Grocery Corp,1252 Saint Nicholas Ave,New York,10032
1408 Saint Nicholas Deli,1408 Saint Nicholas Ave,New York,10033
149 Deli,395 E 149th St,Bronx,10455
1613 Food Deli,1613 St Nicholas Ave,New York,10040
1624 Deli Grocery,1624 Newkirk,Brooklyn,11226
197 8th Avenue Deli,197 8th Ave,New York,10011
1st Avenue Deli,18 1st Ave,New York,10009
2296 Keyfood Corporation,138-37 Queens Blvd,Queens,11435
234 Deli,234 8th Ave,New York,10011
239 Deli,239 8th Ave,New York,10011
24hr Newstand & Grocery,1521 Kings Highway,Brooklyn,11229
3 Star Deli Grocery Inc,1045 Saint Nicholas Ave,New York,10032
37st Food Market Deli,480 10th Ave,New York,10018
4 Way Deli,251 6th Ave,New York,10014
442 Riverdale Deli,442 Riverdale Ave,Yonkers,10705
6th Avenue News & Tobbaco,488 6th Ave,New York,10011
7 Seas Grocery,235 Bushwick Ave,Brooklyn,11206
793 Wykoff Deli,7-93 Wyckoff Ave,Ridgewood,11385
810 Grand Deli,810 Grand St,Brooklyn,11211
85th Street Deli,85-01 Jamaica Ave,Woodhaven,11421
91st Ave Food Corp,89-50 92nd St,Woodhaven,11421
A & S Forest Food,607 Forest Ave,Staten Island,10310
A & T Grocery,2908 Stillwell Ave,Brooklyn,11224
A.n.s Deli,523 Grand St,New York,10002
Abington Square Market,1 Abington Square,New York,10014
Aden Food Market Corp,351 Bedford Ave,Brooklyn,11211
Aden Gourmet Deli,244 Roebling St,Brooklyn,11211
Alaska Deli,108 9th Ave,New York,10011
All Night Candy Corner Corp,37-01 31st Ave,Astoria,11103
Amazing Deals,1520 Ave J,Brooklyn,11230
American Choice Gourmet Deli,218 Broadway,Brooklyn,11211
American Deli & Market,97 Franklin St,Brooklyn,11222
Americo Gas,1264 Randall Ave,Bronx,10474
Amish Farms-240 East 45 St,240 E 45th St,New York,10017
Amish Manhatten Farm Mkt,731 9th Ave,New York,10019
Amoco Gas,118-11 Atlantic Ave,Richmond Hill,11418
Amys Deli,71-06 Kissena Blvd,Flushing,11367
Andys Deli,106 7th Ave S,New York,10014
Andys Deli,142 9th Ave,New York,10011
Angelos Superette,3304 Amboy Rd,Staten Island,10306
Annadale Ro Corp,849 Annadale Rd,Staten Island,10312
Annadale Smoke Shop,827 Annadale Rd,Staten Island,10312
Antique Cafe And Bakery,909 3rd Ave,New York,10022
Apple Market,2541 Ocean Ave,Brooklyn,11229
Apple Tree,1225 Amsterdam Ave,New York,10027
Ara/nyu Sidestein Mkt^^,11 University Pl,New York,10003
Armstrong Deli,4295 Amboy Rd,Staten Island,10312
Around The Clock,149 Havemeyer St,Brooklyn,11211
Art Lovers Cafe,180 9th Ave,New York,10011
Asian Grocery,1510 Cortelyou Rd,Brooklyn,11226
Associate Mktplace (dar),44-07 Greenpoint Ave,Sunnyside,11104
Astoria Shell Tire Pros,43-20 Astoria Blvd,Astoria,11103
Aunt Butchies,4 South St,New York,10004
Ave U Candy Store,1507 Avenue U,Brooklyn,11229
Avenue A Classic Food,115 Avenue A,New York,10009
Avenue A Deli,24 Ave A,New York,10009
Avenue Chemist,45-01 30th Ave,Astoria,11103
Avenue U Gourmet Deli & Grocery,2950 Avenue U,Brooklyn,11229
Awesome Deli,60 Broadway,Brooklyn,11249
B & D Deli,800 Long Beach Blvd,Long Beach,11561
Bagh Deli,118-22 Atlantic Ave,South Richmond Hill,11419
Barcelona Grocery,1601 Westchester,Bronx,10472
Bay Parkway Grocery,8511 Bay Parkway,Brooklyn,11214
Beachstone Beverage Inc,157-34 96th St,Howard Beach,11414
Beca Beverage Inc.,42-65 Kissena Blvd,Flushing,11355
Bedford Fruit Market,146 Bedford Ave,Brooklyn,11249
Bens Deli Grocery,32 Ave B,New York,10009
Berry Fresh Farm,43-26 Ditmars Blvd,Astoria,11105
Best Choice Convenience,30-03 Astoria Blvd,Astoria,11102
Best Deli And Grill,201 W 242nd St,Bronx,10471
Best Deli Grocery,671 Bushwick Ave,Brooklyn,11211
Best Deli,10-01 Wyckoff Ave,Ridgewood,11385
Best Price Deli,196 1st Ave,New York,10009
Best Yet Market - East Rockaway,492 Atlantic Ave,East Rockaway,11518
Best Yet Market,19-30 37th St,Astoria,11105
