name,address,borough,zip
*commodities/all Nat Co-d,165 1st Ave,New York,10003
1201 Deli And Grill,1201 Avenue U,Brooklyn,11229
1252 Deli Grocery Corp,1252 Saint Nicholas Ave,New York,10032
1408 Saint Nicholas Deli,1408 Saint Nicholas Ave,New York,10033
149 Deli,395 E 149th St,Bronx,10455
1613 Food Deli,1613 St Nicholas Ave,New York,10040
1624 Deli Grocery,1624 Newkirk,Brooklyn,11226
197 8th Avenue Deli,197 8th Ave,New York,10011
1st Avenue Deli,18 1st Ave,New York,10009
2296 Keyfood Corporation,138-37 Queens Blvd,Queens,11435
234 Deli,234 8th Ave,New York,10011
239 Deli,239 8th Ave,New York,10011
24hr Newstand & Grocery,1521 Kings Highway,Brooklyn,11229
3 Star Deli Grocery Inc,1045 Saint Nicholas Ave,New York,10032
37st Food Market Deli,480 10th Ave,New York,10018
4 Way Deli,251 6th Ave,New York,10014
442 Riverdale Deli,442 Riverdale Ave,Yonkers,10705
6th Avenue News & Tobbaco,488 6th Ave,New York,10011
7 Seas Grocery,235 Bushwick Ave,Brooklyn,11206
7-11 #11144,159 Atlantic Ave,New Hyde Park,11040
7-11 #11148,3125 Lawson Blvd,Oceanside,11572
7-11 #11459,2084 Victory Blvd,Staten Island,10314
7-11 #19880,103 Lincoln Ave,Staten Island,10306
7-11 #20942,41-00 Bell Blvd,Bayside,11361
7-11 #20944,69-58 Main St,Flushing,11367
7-11 #21826,81-64 Lefferts Blvd,Kew Gardens,11415
7-11 #21950,103-01 Queens Blvd,Forest Hills,11375
7-11 #22101,202-15 Northern Blvd,Bayside,11361
7-11 #23897,168-01 Union Turnpike,Flushing,11366
7-11 #24568,1571 Hempstead Turnpike,Elmont,11003
7-11 #25448,504 Long Beach Blvd,Long Beach,11561
7-11 #25986,471 Mclean Ave,Yonkers,10705
7-11 #26601,2702 Knapp St,Brooklyn,11235
7-11 #26673,1970 Ralph Ave,Brooklyn,11234
7-11 #27037,3342 Nostrand Ave,Brooklyn,11229
7-11 #27104,2477 Hylan Blvd,Staten Island,10306
7-11 #27105,58-12 Francis Lewis Blvd,Oakland Gardens,11364
7-11 #27167,2800 Coney Island Ave,Brooklyn,11235
7-11 #27454,2247 Utica Ave,Brooklyn,11234
7-11 #27493,79-01 Northern Blvd,Jackson Heights,11372
7-11 #27690,254-02 Hillside Ave,Glen Oaks,11004
7-11 #27760,22-50 College Point Blvd,College Point,11356
7-11 #29937,65-07 Woodhaven Blvd,Rego Park,11374
7-11 #32116,1590 Hutchinson River Parkway,Bronx,10462
7-11 #32117,8813 4th Ave,Brooklyn,11209
7-11 #32118,146-26 Northern Blvd,Flushing,11354
7-11 #32120,149-52 14th Ave,Whitestone,11357
7-11 #32121,208-22 Cross Island Parkway,Bayside,11360
7-11 #32122,6501 New Utrecht Ave,Brooklyn,11219
7-11 #32123,225-08 Jamaica Ave,Floral Park,11001
7-11 #32126,3768 Nostrand Ave,Brooklyn,11235
7-11 #32127,87-16 Astoria Blvd,East Elmhurst,11369
7-11 #32128,112-11 Liberty Ave,South Richmond Hill,11419
7-11 #32153,246-15 Northern Blvd,Little Neck,11362
7-11 #32201,3508 E Tremont Ave,Bronx,10465
7-11 #32346,72-01 Eliot Ave,Middle Village,11379
7-11 #32406,162-01 46th Ave,Flushing,11358
7-11 #32653,1252 Forest Ave,Staten Island,10302
7-11 #32720,127-02 14th Ave,College Point,11356
7-11 #32884,301 65th St,Brooklyn,11220
7-11 #32951,2090 Hillside Ave,New Hyde Park,11040
7-11 #33094,480 Rockaway Turnpike,Lawerence,11516
7-11 #33318,3220 Westchester Ave,Bronx,10461
7-11 #33549,66-04 Queens Blvd,Woodside,11377
7-11 #33570,107 E 23rd St,New York,10010
7-11 #33574,31-31 Thomson Ave,Long Island City,11101
7-11 #33579,3rd Ave & E 82nd St,New York,10028
7-11 #33616,1594 York Ave,New York,10028
7-11 #33633,345 W 42nd St,New York,10036
7-11 #33680,953 Kings Highway,Brooklyn,11223
7-11 #33684,67-21 Fresh Pond Rd,Ridgewood,11385
7-11 #33687,57-01 Myrtle Ave,Ridgewood,11385
7-11 #33704,1619 Avenue M,Brooklyn,11230
7-11 #33709,133 Avenue U,Brooklyn,11223
7-11 #33975,101-04 Metropolitan Ave,Forest Hills,11375
7-11 #34008,30-01 30th Ave,Astoria,11102
7-11 #34023,107-24 Corona Ave,Corona,11368
