name,address,borough,zip
7-11 #35887,1764 University Ave,Bronx,10453
Bravo Grand Concourse,2285 Grand Concourse,Bronx,10453
Morton Williams/gold And White,2467 Jerome Ave,Bronx,10468
Bp Gas,3936 10th Ave,New York,10034
Lai Lai,4520 Broadway,New York,10040
Food Universe Marketplace,72 Nagle Ave,New York,10040
1408 Saint Nicholas Deli,1408 Saint Nicholas Ave,New York,10033
Dyckman Deli,201 Dyckman St,New York,10040
Shop Fair,306 E 170th St,Bronx,10456
Bp Gas,4353 Broadway,New York,10033
Key Food #790,4365 Broadway,New York,10033
Broadway Famous Deli,4879 Broadway,New York,10034
C-town 4918 Bwy,4918 Broadway,New York,10034
New Sun Deli,416 E 189 St,Bronx,11378
Q Mart,4311 Broadway,New York,10033
7-11 #37023,600 W 178th St,New York,10033
7-eleven,600 West 178th St,New York,10033
Moca Deli Grocery,4183 Broadway,New York,10033
Moca Deli,4183 Vroadway,Manhattan,10033
Cvs#8969,50 E 167th St,Bronx,10452
Park Terrace Deli,510 West 218 West,New York,10034
Food Bazaar #30,535 E 170th St,Bronx,10456
Franks Market Place,807 W 187th St,New York,10033
Fine & Fare - Ogden Ave,1136 Ogden Ave,Bronx,10452
1252 Deli Grocery Corp,1252 Saint Nicholas Ave,New York,10032
Target,40 W 225th St,Bronx,10463
7-11 #39549,1845 Webster Ave,Bronx,10457
Yummilicious Deli Corp,4119 Broadway,New York,10033
Cherry Tree,4051 Broadway,New York,10032
Marble Hill Garden Of Edin,5187 Broadway,Bronx,10468
7-11 #39365,590 E Fordham Rd,Bronx,10458
C-town - 2891 Sedgwick Ave,2891 Sedgwick Ave,Bronx,10468
Manhattan Deli Store Corp,57 Audubon Ave,New York,10032
Presbyterian Deli,1081 Saint Nicholas Ave,New York,10032
New University Deli,603 W 168th St,New York,10032
Prestige Cafe & Deli,228 Fort Washington Ave,New York,10032
3 Star Deli Grocery Inc,1045 Saint Nicholas Ave,New York,10032
Foodtown,5555 Broadway,Bronx,10463
Cvs#2430,224 E 161st St,Bronx,10451
Key Food,881 Gerard Ave,Bronx,10452
Food Bazaar #42,445 E 163rd St,Bronx,10451
Villas Market Place,5665 Broadway,Bronx,10463
Super Foodtown,600 W 160th St,New York,10032
Food Bazaar #18,238 E 161st St,Bronx,10451
Galaxy Gourmet Deli,3778 Broadway,New York,10032
Fine Fare - 3131 Grand Concourse,3131 Grand Concourse,Bronx,10468
Riverside Gourmet Market,3779 Broadway,New York,10032
Speedway,401 W 207th St,New York,10034
Cvs#2773,130 Dyckman St,New York,10040
1613 Food Deli,1613 St Nicholas Ave,New York,10040
Shop Fair,306 E 170th St,Bronx,10456
Food Bazaar #30,535 E 170th St,Bronx,10456
7-11 #39549,1845 Webster Ave,Bronx,10457
Bravo Grand Concourse,2285 Grand Concourse,Bronx,10453
7-11 #35887,1764 University Ave,Bronx,10453
New Sun Deli,416 E 189 St,Bronx,11378
Morton Williams/gold And White,2467 Jerome Ave,Bronx,10468
Kingdom Food,443 Morris Park Ave,Bronx,10462
